record_id,citation_key,title,journal,publication_year,analysis_period,study_summary,case_report,case_report_conclusion,workflow_stage,specialty,specialty_other_detail,evaluation_target,device,dimensionality,image_modalities,image_modality_other_detail,rendering_type,rendering_other_detail,aux_visualization_content,anchoring_context,registration_method,perception_support,perception_cues,specialty_label,device_label,dimensionality_label,rendering_type_label,registration_method_label,workflow_stage_label,evaluation_target_label,image_modalities_label,anchoring_context_label,perception_cues_label,aux_visualization_content_label
347,Watanabe 2016,The Trans-Visible Navigator: A See-Through Neuronavigation System Using Augmented Reality,world neurosurg,2016,2016-2020,"Overlay MRI and CT extracted model on phantom, using tracking in the surgical room",False,,intraoperative,neurosurgery,,patient,body_handheld,3d,ct|mri,,surface_modeling,,,in_situ,marker_optical,False,,Neurosurgery,Handheld Device,3D,Surface Modeling,Optical Marker,Intraoperative,Patient,"CT, MRI",In-situ,,
5360,Baum 2017,Usability of a real-time tracked augmented reality display system in musculoskeletal injections,"Medical Imaging 2017: Image-Guided Procedures, Robotic Interventions, and Modeling.",2017,2016-2020,Overlay scan slices onto patient body with semi-transparent mirror.,False,,intraoperative,orthopedic,,patient,spatial_projection_semtransparent,2d,ct|mri,,no_post_processing,,,in_situ,marker_optical,False,,Orthopedic,Semi-transparent Projection,2D,No Post-processing,Optical Marker,Intraoperative,Patient,"CT, MRI",In-situ,,
333,Cutolo 2017,A new head-mounted display-based augmented reality system in neurosurgical oncology: a study on phantom,Comput Assist Surg,2017,2016-2020,"apply a novel AR system, based on a head-mounted stereoscopic video see-through display compare several effect",False,,planning,neurosurgery,,phantom,hmd_vst,3d,ct,,surface_modeling,,tool_location|target_circle,in_situ,marker_optical,True,kinetic,Neurosurgery,HMD (Video See-Through),3D,Surface Modeling,Optical Marker,Planning,Phantom,CT,In-situ,Kinetic,"Tool Location, Target Circle"
1560,DaSilva 2017,Segmented and detailed visualization of anatomical structures based on augmented reality for health education and knowledge discovery,"Adv. Sci., Technol. Eng. Syst.",2017,2016-2020,use AR to teach anatomy and knowledge discovery,False,,education,general,,virtual,body_handheld,3d,,3d_model,surface_modeling,,,off_situ,,False,,General,Handheld Device,3D,Surface Modeling,,Education,Virtual,,Off-situ,,
1590,Drouin 2017,IBIS: an OR ready open-source platform for image-guided neurosurgery,Int. J. Comput. Assisted Radiol. Surg.,2017,2016-2020,"Provide the navigation by integrating the iUS, can extend from neural surgery to all type of surgery",False,,intraoperative,neurosurgery,,phantom,microscope,3d,multimodal,,surface_modeling,,,in_situ,marker_optical,True,occlusion|contour_edge,Neurosurgery,Microscope,3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,Multimodal,In-situ,"Occlusion, Contour Edge",
307,Marker 2017,1.5 T augmented reality navigated interventional MRI: paravertebral sympathetic plexus injections,Diagn Interv Radiol,2017,2016-2020,assessed the feasibility and technical performance of MRI-guided paravertebral sympathetic injections utilizing augmented reality navigation and 1.5 T MRI scanner.,False,,intraoperative,orthopedic,,cadaver,spatial_projection_semtransparent,2d,mri,,no_post_processing,,tool_location,in_situ,markerless,False,,Orthopedic,Semi-transparent Projection,2D,No Post-processing,Markerless,Intraoperative,Cadaver,MRI,In-situ,,Tool Location
1537,Wang 2017,Autostereoscopic augmented reality visualization for depth perception in endoscopic surgery,Displays,2017,2016-2020,compare different visual cues.,False,,not_specified,not_specified,,phantom,spatial_monitor,3d,ct,,surface_modeling,,,off_situ,,True,occlusion|shadow,Not Specified,Spatial Monitor,3D,Surface Modeling,,Not Specified,Phantom,CT,Off-situ,"Occlusion, Shadow",
181,Zeng 2017,A surgical robot with augmented reality visualization for stereoelectroencephalography electrode implantation,Int J Comput Assist Radiol Surg,2017,2016-2020,"Both projection and Video-see-through monitor Therefore, the target point (TP) error based on the viewpoint deviation should be studied. The system helps the surgeon quickly and intuitively confirm the registration accuracy, locate EPs and visualize the internal anatomical structure in the image space and patient space.",False,,intraoperative,neurosurgery,,phantom,spatial_projection,3d,ct,,surface_modeling,,,in_situ,markerless,False,,Neurosurgery,Spatial Projection,3D,Surface Modeling,Markerless,Intraoperative,Phantom,CT,In-situ,,
346,Fotouhi 2018,"Plan in 2-D, execute in 3-D: an augmented reality solution for cup placement in total hip arthroplasty",Journal of Medical Imaging,2018,2016-2020,x-ray acquisition -> plan the position of acetabular cup -> project the RGBD point cloud and planned cup onto the x-ray -> overlay to implant.,False,,intraoperative,orthopedic,,phantom,spatial_monitor,2d,xray,,no_post_processing,,,off_situ,,False,,Orthopedic,Spatial Monitor,2D,No Post-processing,,Intraoperative,Phantom,X-ray,Off-situ,,
5311,Fotouhi 2018,Technical note: An augmented reality system for total hip arthroplasty,"Medical Imaging 2018: Image-Guided Procedures, Robotic Interventions, and Modeling",2018,2016-2020,easy to use intra-operative component planning system based on two C-arm X-ray images that is combined with 3D augmented reality (AR) visualization that simplifies impactor and cup placement according to the planning by providing a real-time RGBD data overlay.,False,,planning,orthopedic,,phantom,spatial_monitor,2d,xray|rgb,,no_post_processing,,,in_situ,markerless,False,,Orthopedic,Spatial Monitor,2D,No Post-processing,Markerless,Planning,Phantom,"X-ray, RGB Camera",In-situ,,
683,Gerard 2018,Combining intraoperative ultrasound brain shift correction and augmented reality visualizations: a pilot study of eight cases.,Journal of Medical Imaging,2018,2016-2020,investigating the feasibility of combining intraoperative ultrasound for brain shift correction and augmented reality (AR) visualization for intraoperative interpretation of patient-specific models in image-guided neurosurgery (IGNS) of brain tumors.,True,These results demonstrate the potential of combining ultrasound-based registration with AR to become a useful tool for neurosurgeons to improve intraoperative patient-specific planning by improving the understanding of complex 3-D medical imaging data and prolonging the reliable use of IGNS (image-guided neurosurgery),intraoperative,neurosurgery,,patient,spatial_monitor,3d,multimodal,,surface_modeling,,tool_location,in_situ,marker_optical,True,occlusion,Neurosurgery,Spatial Monitor,3D,Surface Modeling,Optical Marker,Intraoperative,Patient,Multimodal,In-situ,Occlusion,Tool Location
218,Kenngott 2018,"Mobile, real-time, and point-of-care augmented reality is robust, accurate, and feasible: a prospective pilot study",Surg Endosc,2018,2016-2020,"focus on a thorough evaluation of AR. Feasibility, robustness, and accuracy were thus evaluated consecutively in a phantom model and a porcine model. Additionally feasibility was evaluated in one male volunteer.",False,,intraoperative,abdominal,,phantom|animal|patient,body_handheld,3d,ct,,surface_modeling,,,in_situ,marker_other,False,,Abdominal,Handheld Device,3D,Surface Modeling,Other Marker,Intraoperative,"Phantom, Animal, Patient",CT,In-situ,,
5294,Sappenfield 2018,Visualization improves supraclavicular access to the subclavian vein in a mixed reality simulator,"Technology, Computing, and Simulation",2018,2016-2020,Test whether 3D real-time visual augmentation in a mixed reality simulator improves training performance for supraclavicular subclavian venous access vs no visualization / delayed visualization.,False,,training,cardiothoracic,,phantom,spatial_monitor,3d,ct,,surface_modeling,,,off_situ,,False,,Cardiothoracic,Spatial Monitor,3D,Surface Modeling,,Training,Phantom,CT,Off-situ,,
1592,Tucker 2018,Towards clinical translation of augmented orthopedic surgery: From pre-op CT to intra-op x-ray via RGBD sensing,Medical Imaging,2018,2016-2020,"propose an intuitive augmented reality environment allowing visualization of pre-operative data during the intervention, with an overlay of the optical information from the surgical site.",False,,intraoperative,orthopedic,,phantom,spatial_monitor,3d,ct,,no_post_processing,,,off_situ,,False,,Orthopedic,Spatial Monitor,3D,No Post-processing,,Intraoperative,Phantom,CT,Off-situ,,
278,Umebayashi 2018,Augmented Reality Visualization-guided Microscopic Spine Surgery: Transvertebral Anterior Cervical Foraminotomy and Posterior Foraminotomy,J Am Acad Orthop Surg Glob Res,2018,2016-2020,"However, data are not currently available on the use of AR imaging in spine surgery. The purpose of this article was to introduce the utility of AR for spine surgery",True,"successfully performed both surgeries using the AR visualization guide. Conclusions: The AR navigation system facilitates complicated keyhole surgeries in patients who undergo spine surgery Need very precise: A 1-mm error can lead to unsuccessful keyhole surgeries because TVACF and PCLF are performed in the 6-mm tunnel. Furthermore, although standard navigation shows a point only on the navigation display",intraoperative,orthopedic,,patient,microscope,2d,ct,,no_post_processing,,,in_situ,markerless,False,,Orthopedic,Microscope,2D,No Post-processing,Markerless,Intraoperative,Patient,CT,In-situ,,
293,Viglialoro 2018,Augmented Reality to Improve Surgical Simulation. Lessons Learned Towards the Design of a Hybrid Laparoscopic Simulator for Cholecystectomy,IEEE Trans Biomed Eng,2018,2016-2020,This paper reports on the results of a long development stage of a hybrid simulator for laparoscopic cholecystectomy that integrates real and the virtual components.,False,,training,abdominal,,phantom,spatial_monitor,3d,,Virtual data (artificial),surface_modeling,,,off_situ,,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,,Training,Phantom,,Off-situ,,
928,vanOosterom 2018,Navigation of Fluorescence Cameras during Soft Tissue Surgery-Is it Possible to Use a Single Navigation Setup for Various Open and Laparoscopic Urological Surgery Applications?,THE JOURNAL OF UROLOGY,2018,2016-2020,Add AR overlay through SPECT to Real-time visualization fluorescence imaging can guide surgeons during tissue resection that overcome the signal attenuation limitations,,,intraoperative,urology,,phantom|patient,spatial_monitor,2d,ct,,other_process,2D contour projection,,off_situ,,False,,Urology,Spatial Monitor,2D,Other Process,,Intraoperative,"Phantom, Patient",CT,Off-situ,,
1496,Carl 2019,Augmented Reality in Transsphenoidal Surgery,World Neurosurg,2019,2016-2020,how augmented reality (AR) can be applied to support transsphenoidal surgery,True,Microscope-based AR is a reliable tool to increase patient safety in complicated transsphenoidal procedures,intraoperative,head_and_neck,,patient,microscope,3d,ct,,surface_modeling,,,in_situ,markerless,True,contour_edge,Head & Neck,Microscope,3D,Surface Modeling,Markerless,Intraoperative,Patient,CT,In-situ,Contour Edge,
190,Carl 2019,Augmented reality in intradural spinal tumor surgery,Acta Neurochir,2019,2016-2020,AR can be applied for intradural spinal tumor surgery,,,intraoperative,orthopedic,,patient,microscope,3d,ct,,surface_modeling,,,in_situ,markerless,True,fresnel,Orthopedic,Microscope,3D,Surface Modeling,Markerless,Intraoperative,Patient,CT,In-situ,Fresnel,
277,DePaolis 2019,Augmented visualization with depth perception cues to improve the surgeon's performance in minimally invasive surgery,Medical & Biological Engineering & Computing,2019,2016-2020,improving the intervention precision and avoid the risk of damaging anatomical structures by implementing visual and audio cues.,False,,intraoperative,abdominal,,phantom,spatial_monitor,3d,ct,,surface_modeling,,tool_location|distance_indicator,off_situ,,True,occlusion|metric,Abdominal,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Phantom,CT,Off-situ,"Occlusion, Metric","Tool Location, Distance Indicator"
96,E 2019,Interactive and Multimodal-based Augmented Reality for Remote Assistance using a Digital Surgical Microscope,IEEE Conference on Virtual Reality and 3D User Interfaces,2019,2016-2020,"an interactive and multimodal-based augmented reality system for computer-assisted surgery in the context of ear, nose and throat (ENT) treatment. Use multispectral and white light imaging",False,,intraoperative,head_and_neck,,dataset,microscope,2d,rgb,,no_post_processing,,color_coding,in_situ,markerless,True,metric,Head & Neck,Microscope,2D,No Post-processing,Markerless,Intraoperative,Dataset,RGB Camera,In-situ,Metric,Color Coding
280,Fotouhi 2019,Interactive Flying Frustums (IFFs): spatially aware surgical data visualization,Int J Comput Assist Radiol Surg,2019,2016-2020,present a spatially and imaging geometry-aware paradigm for visualization of fluoroscopic images using Interactive Flying Frustums (IFFs) in a mixed reality environment.,False,,intraoperative,orthopedic,,phantom,hmd_ost,2d,xray,,no_post_processing,,,in_situ,marker_optical,True,linear_perspective,Orthopedic,HMD (Optical See-Through),2D,No Post-processing,Optical Marker,Intraoperative,Phantom,X-ray,In-situ,Linear Perspective,
276,Gibby 2019,Head-mounted display augmented reality to guide pedicle screw placement utilizing computed tomography,Int J Comput Assist Radiol Surg,2019,2016-2020,whether HMD-AR with superimposed computed tomography (CT) data could allow the wearer to percutaneously guide pedicle screw placement in an opaque lumbar model with no real-time fluoroscopic guidance.,False,,intraoperative,orthopedic,,phantom,hmd_ost,3d,ct,,volume_rendering,,tool_location|trajectory,in_situ,markerless,False,,Orthopedic,HMD (Optical See-Through),3D,Volume Rendering,Markerless,Intraoperative,Phantom,CT,In-situ,,"Tool Location, Trajectory"
1464,Li 2019,A wearable mixed-reality holographic computer for guiding external ventricular drain insertion at the bedside,J Neurosurg,2019,2016-2020,explore the feasibility and accuracy of using a wearable mixed-reality holographic computer to guide external ventricular drain (EVD) insertion and thus improve on the accuracy of the classic freehand insertion method for EVD insertion.,True,"Moreover, we are challenged to provide enough well-trained staff to assist in the surgical planning and registration, and the use of seemingly complex tech- nology also makes the surgeon feel mildly hesitant. These situations are always encountered in studies involv",intraoperative,neurosurgery,,patient,hmd_ost,3d,ct,,surface_modeling,,tool_location,in_situ,marker_other,False,,Neurosurgery,HMD (Optical See-Through),3D,Surface Modeling,Other Marker,Intraoperative,Patient,CT,In-situ,,Tool Location
263,Liu 2019,An augmented reality system for image guidance of transcatheter procedures for structural heart disease,PLoS One,2019,2016-2020,New image guidance system by utilizing AR to provide 3D visual environment and quantitative feedback of the catheter's position within the heart of the patient; use 2D X-ray to visualize 3D anatomy to enhance the spatial understanding,False,,intraoperative,cardiothoracic,,phantom,hmd_ost,3d,ct,,surface_modeling,,tool_location,off_situ,,False,,Cardiothoracic,HMD (Optical See-Through),3D,Surface Modeling,,Intraoperative,Phantom,CT,Off-situ,,Tool Location
1485,Qian 2019,ARAMIS: Augmented Reality Assistance for Minimally Invasive Surgery Using a Head-Mounted Display,MICCAI,2019,2016-2020,"rovide real-time “x- ray see-through vision” of a patient’s internal structure to the surgeon, via an optical see-through head-mounted display (OST-HMD), in minimally invasive laparoscopic surger",False,,intraoperative,abdominal,,phantom,hmd_ost,3d,,point cloud generation from endoscope image,other_process,,,in_situ,,False,,Abdominal,HMD (Optical See-Through),3D,Other Process,,Intraoperative,Phantom,,In-situ,,
150,Rose 2019,Development of augmented-reality applications in otolaryngology-head and neck surgery,Laryngoscope,2019,2016-2020,"develop a head-worn, AR system for accurate, intraoperative localization of pathology and normal anatomic landmarks during open head and neck surgery",False,,intraoperative,head_and_neck,,phantom,hmd_ost,3d,ct,,surface_modeling,,,in_situ,marker_other,False,,Head & Neck,HMD (Optical See-Through),3D,Surface Modeling,Other Marker,Intraoperative,Phantom,CT,In-situ,,
5223,Viglialoro 2019,Augmented Reality to Improve Surgical Simulation: Lessons Learned Towards the Design of a Hybrid Laparoscopic Simulator for Cholecystectomy,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2019,2016-2020,"A simulator for laparoscopic cholecystectomy surgery, including a physical model and corresponded AR visualization",False,,training,abdominal,,phantom,spatial_monitor,2d,rgb,,no_post_processing,,tool_location|color_coding,in_situ,markerless,False,,Abdominal,Spatial Monitor,2D,No Post-processing,Markerless,Training,Phantom,RGB Camera,In-situ,,"Tool Location, Color Coding"
359,Wake 2019,Patient-specific 3D printed and augmented reality kidney and prostate cancer models: impact on patient education,3D Printing in Medicine,2019,2016-2020,"This paper compares the performance of showing patient model in patient-specific 3D printed model, 3D model on computer, and in augmented reality in kidney and prostate patient education. The result shows 3D printed model has the best performance.",False,,education,urology,,human_subject,hmd_ost,3d,mri,,surface_modeling,,,off_situ,,False,,Urology,HMD (Optical See-Through),3D,Surface Modeling,,Education,Human Subject,MRI,Off-situ,,
587,Weidert 2019,Video-augmented fluoroscopy for distal interlocking of intramedullary nails decreased radiation exposure and surgical time in a bovine cadaveric setting.,Int J Med Robot Aug,2019,2016-2020,"This paper analyzed how the CamC system, which overlays the x-ray image on rgb image, could help reducing the radiation for surgeons for distal interlocking. The result shows the system can reduce the number of x-rays required to perform the procedure. No significant improvement on the time spend for the procedure or the drilling quality is observed.",False,,intraoperative,orthopedic,,cadaver,spatial_monitor,2d,xray,,no_post_processing,,,off_situ,,False,,Orthopedic,Spatial Monitor,2D,No Post-processing,,Intraoperative,Cadaver,X-ray,Off-situ,,
1525,Zhang 2019,Preliminary application of mxed reality in neurosurgery: Development and evaluation of a new intraoperative procedure,J. Clin. Neurosci.,2019,2016-2020,enrolled several typical cases and developed the neurosurgical plans based on the patient’s imaging data mod- eled by MR technique.,True,The feasibility of the MR-HMD application in neurosurgery is confirmed,planning,neurosurgery,,virtual,hmd_ost,3d,ct|mri,,surface_modeling,,,off_situ,,False,,Neurosurgery,HMD (Optical See-Through),3D,Surface Modeling,,Planning,Virtual,"CT, MRI",Off-situ,,
236,Akladios 2020,"Augmented reality in gynecologic laparoscopic surgery: development, evaluation of accuracy and clinical relevance of a device useful to identify ureters during surgery",Surgical Endoscopy,2020,2016-2020,A system to visualize pelvic ureters by AR in laparoscopy on an animal model,,,intraoperative,urology,,animal,spatial_monitor,3d,ct,,surface_modeling,,,off_situ,,False,,Urology,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Animal,CT,Off-situ,,
803,Athanasopoulos 2020,"Real-Time Overlapping of Indocyanine Green-Video Angiography With White Light Imaging for Vascular Neurosurgery: Technique, Implementation, and Clinical Experience.",OPERATIVE NEUROSURGERY,2020,2016-2020,Integrate Multispectral imaging for better microvascular surgical treatment via augmented reality,False,,intraoperative,vascular,,animal,spatial_monitor,2d,rgb,,no_post_processing,,color_coding,off_situ,,False,,Vascular,Spatial Monitor,2D,No Post-processing,,Intraoperative,Animal,RGB Camera,Off-situ,,Color Coding
5152,Cartucho 2020,Multimodal mixed reality visualisation for intraoperative surgical guidance,International Journal of Computer Assisted Radiology and Surgery,2020,2016-2020,propose a MR visualisation platform which projects multiple imaging modalities to assist intraoperative surgical guidance.,False,,intraoperative,neurosurgery,,dataset,hmd_ost,multimodal,ct|us,,other_process,Multi,,off_situ,,False,,Neurosurgery,HMD (Optical See-Through),Multimodal,Other Process,,Intraoperative,Dataset,"CT, Ultrasound",Off-situ,,
5187,Chen 2020,The Preliminary Application of Augmented Reality in Unilateral Orbitozygomatic Maxillary Complex Fractures Treatment,The Journal of Craniofacial Surgery,2020,2016-2020,"Post-op imaging (reduction/healing; plate position consistent with preop plan), occlusion & facial appearance recovery, operation time shortening, plus patient satisfaction mentioned.",True,"occlusion & facial appearance recovery, operation time shortening, plus patient satisfaction mentioned.",intraoperative,oral_maxillofacial,,patient,hmd_ost,3d,ct,,surface_modeling,,,in_situ,marker_other,False,,Oral & Maxillofacial,HMD (Optical See-Through),3D,Surface Modeling,Other Marker,Intraoperative,Patient,CT,In-situ,,
624,GonzálezIzard 2020,"Nextmed: Automatic Imaging Segmentation, 3D Reconstruction, and 3D Model Visualization Platform Using Augmented and Virtual Reality.",Sensors,2020,2016-2020,"The Nextmed project is unique, as it covers the whole process from uploading dicom images to automatic segmentation, 3D reconstruction, 3D visualization, and manipulation using augmented and virtual reality.",False,,planning,cardiothoracic,,virtual,body_handheld,3d,ct|xray,,other_process,3D modeling,,off_situ,,False,,Cardiothoracic,Handheld Device,3D,Other Process,,Planning,Virtual,"CT, X-ray",Off-situ,,
169,Huang 2020,Augmented reality visualization of hyperspectral imaging classifications for image-guided brain tumor phantom resection,Proc SPIE Int Soc Opt Eng,2020,2016-2020,Overlay the HSI image that to detect different type of tissues,False,,intraoperative,neurosurgery,,phantom,hmd_ost,2d,hsi,,no_post_processing,,,in_situ,marker_other,False,,Neurosurgery,HMD (Optical See-Through),2D,No Post-processing,Other Marker,Intraoperative,Phantom,HSI,In-situ,,
268,Hussain 2020,Augmented reality for inner ear procedures: visualization of the cochlear central axis in microscopic videos,Int J Comput Assist Radiol Surg,2020,2016-2020,present an augmented reality system for the visualization of the cochlear axis in surgical videos.,False,,intraoperative,head_and_neck,,dataset,microscope,2d,ct,,other_process,2D outline,anatomy_annotation,in_situ,markerless,False,,Head & Neck,Microscope,2D,Other Process,Markerless,Intraoperative,Dataset,CT,In-situ,,Anatomy Annotation
5118,Kumar 2020,Use of mixed reality for surgery planning: Assessment and development workflow,Journal of Biomedical Informatics,2020,2016-2020,Discuss the application of AR in general medical application,False,,multi_task,mixed,,patient,hmd_ost,3d,ct,,surface_modeling,,color_coding,off_situ,,False,,Mixed,HMD (Optical See-Through),3D,Surface Modeling,,Multi-task,Patient,CT,Off-situ,,Color Coding
286,LégerÉ 2020,MARIN: an open-source mobile augmented reality interactive neuronavigation system,International Journal of Computer Assisted Radiology and Surgery,2020,2016-2020,a system that use mobile device to perform real-time AR video augmentation in the context of image-guided neurosurgery,False,,intraoperative,neurosurgery,,phantom,body_handheld,3d,mri,,surface_modeling,,,in_situ,marker_other,True,occlusion,Neurosurgery,Handheld Device,3D,Surface Modeling,Other Marker,Intraoperative,Phantom,MRI,In-situ,Occlusion,
57,M 2020,Evaluation of Different Visualization Techniques for Perception-Based Alignment in Medical AR,2020 IEEE International Symposium on Mixed and Augmented Reality Adjunct,2020,2016-2020,how different static visualization techniques influence users' ability to perform perception-based alignment in AR for breast reconstruction surgery choice of visualization technique affected the accuracy of depth perception,False,,planning,breast,,phantom,hmd_ost,3d,ct,,surface_modeling,,,in_situ,marker_optical,True,contour_edge,Breast,HMD (Optical See-Through),3D,Surface Modeling,Optical Marker,Planning,Phantom,CT,In-situ,Contour Edge,
315,Neves 2020,Application of holographic augmented reality for external approaches to the frontal sinus,"International Forum of Allergy & Rhinology,",2020,2016-2020,This paper overlays CT segmentations of the sinus onto a cadaver.,False,,intraoperative,head_and_neck,,cadaver,hmd_vst,3d,ct,,surface_modeling,,,in_situ,markerless,False,,Head & Neck,HMD (Video See-Through),3D,Surface Modeling,Markerless,Intraoperative,Cadaver,CT,In-situ,,
1400,Perkins 2020,A Patient-Specific Mixed-Reality Visualization Tool for Thoracic Surgical Planning,Ann. Thorac. Surg,2020,2016-2020,"view a patient’s original preoperative imaging; (2) manipulate a 3-dimensional rendering of that patient ’s chest anatomy including the bronchial, osseus, and vascular structures; and (3) simulate lung deflation and surgical instrument placement.",False,,planning,head_and_neck,,virtual,hmd_ost,3d,ct,,surface_modeling,,tool_location,off_situ,,False,,Head & Neck,HMD (Optical See-Through),3D,Surface Modeling,,Planning,Virtual,CT,Off-situ,,Tool Location
746,Southworth 2020,Performance Evaluation of Mixed Reality Display for Guidance During Transcatheter Cardiac Mapping and Ablation.,CARDIOVASCULAR DEVICES AND SYSTEMS,2020,2016-2020,This work aims to evaluate the performance and quality of a mixed reality system designed for intraprocedural use in cardiac electrophysiology.,True,"The ELVIS system, based on current commercially available mixed ¯ reality hardware, is capable of meeting the hardware performance, image quality, and usability requirements of the electroanatomic mapping display for intraprocedural, real-time use in electrophysiology procedures.",intraoperative,cardiothoracic,,patient,hmd_ost,3d,ct,,volume_rendering,,electrophysiology,off_situ,,False,,Cardiothoracic,HMD (Optical See-Through),3D,Volume Rendering,,Intraoperative,Patient,CT,Off-situ,,Electrophysiology
29,T 2020,Supervised Control for Robot-Assisted Surgery Using Augmented Reality,"International Conference on Control, Automation and Systems",2020,2016-2020,llow the surgeon to supervise the execution of robotic surgery process using AR.,False,,intraoperative,orthopedic,,phantom,hmd_ost,3d,,3d_model,surface_modeling,,tool_location,in_situ,marker_other,False,,Orthopedic,HMD (Optical See-Through),3D,Surface Modeling,Other Marker,Intraoperative,Phantom,,In-situ,,Tool Location
212,Xu 2020,Design and Validation of a Spinal Surgical Navigation System Based on Spatial Augmented Reality,Spine (Phila Pa 1976),2020,2016-2020,develop a spatial augmented reality-based surgical navigation system to assist in the placement of pedicle screws in minimally invasive spine surgery and to verify the accuracy of this method,True,,intraoperative,orthopedic,,phantom,spatial_projection,3d,ct,,surface_modeling,,,in_situ,marker_optical,False,,Orthopedic,Spatial Projection,3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,CT,In-situ,,
1341,Zeiger 2020,Use of Mixed Reality Visualization in Endoscopic Endonasal Skull Base Surgery,Oper. Neurosurg.,2020,2016-2020,To outline an initial experience with a novel technology platform that provides intraoperative navigation using 3D reconstructions of patient anatomy for endoscopic surgery,True,"both the otolaryngologists and neurosurgeons felt that EndoSNAP helped with the visualization and comprehension of vital structures in a complex anatomic region. limitation: include a significant space requirement in the operating room. The physical logistics of bringing the technology into the surgery was challenging at times, particularly in smaller operating rooms. Another significant disadvantage is the time and training necessary to create the 3D reconstructions.",intraoperative,neurosurgery,,patient,spatial_monitor,3d,ct|mri,,not_reported,,tool_location,off_situ,,False,,Neurosurgery,Spatial Monitor,3D,Not Reported,,Intraoperative,Patient,"CT, MRI",Off-situ,,Tool Location
204,Zhao 2020,An Intelligent Augmented Reality Training Framework for Neonatal Endotracheal Intubation,Int Symp Mix Augment Real,2020,2016-2020,propose an intelligent Augmented Reality (AR) training framework that provides trainees with a complete visualization of the ETI procedure for real-time guidance and assessment (deliver automated AR feedback with the ETI scoring rubric),False,,training,head_and_neck,,phantom,hmd_ost,3d,,3d_model,surface_modeling,,tool_location,in_situ,marker_other,False,,Head & Neck,HMD (Optical See-Through),3D,Surface Modeling,Other Marker,Training,Phantom,,In-situ,,Tool Location
235,Aoyama 2021,The Utility of Augmented Reality in Spinal Decompression Surgery Using CT/MRI Fusion Image,Open Access Technical Report,2021,2021-2026,"This study applied HMD to visualize fused CT/MRI images for the pre-operative planning, and claimed to be beneficial for navigation.",,,planning,neurosurgery,,virtual,hmd_ost,3d,ct|mri,,other_process,MRI/CT Image Fusion,,off_situ,,False,,Neurosurgery,HMD (Optical See-Through),3D,Other Process,,Planning,Virtual,"CT, MRI",Off-situ,,
201,ChanHHL 2021,An integrated augmented reality surgical navigation platform using multi-modality imaging for guidance,PLOS ONE,2021,2021-2026,"Through preclinical study, evaluate the performance of a prototype interactive AR surgical navigation system",,,intraoperative,not_specified,,animal,spatial_projection,3d,ct|mri|pet,,other_process,Mixed,,in_situ,marker_optical,False,,Not Specified,Spatial Projection,3D,Other Process,Optical Marker,Intraoperative,Animal,"CT, MRI, PET",In-situ,,
217,Condino 2021,Hybrid Simulation and Planning Platform for Cryosurgery with Microsoft HoloLens,Sensors,2021,2021-2026,anatomical understanding and pre-operative planning by integrating radiological images and cryoprobe specifications in desktop application or in HoloLens,,,planning,oncologic,,phantom,hmd_ost,3d,ct,,surface_modeling,,,in_situ,marker_other,False,,Oncologic,HMD (Optical See-Through),3D,Surface Modeling,Other Marker,Planning,Phantom,CT,In-situ,,
1433,Condino 2021,Hybrid spine simulator prototype for x-ray free pedicle screws fixation training,Appl. Sci.,2021,2021-2026,simulation for xcrews fixation training,False,,training,orthopedic,,phantom,spatial_monitor,3d,ct,,surface_modeling,,,off_situ,,False,,Orthopedic,Spatial Monitor,3D,Surface Modeling,,Training,Phantom,CT,Off-situ,,
5045,D'Urso 2021,Computer-assisted quantification and visualization of bowel perfusion using fluorescence-based enhanced reality in left-sided colonic resections,Surgical Endoscopy,2021,2021-2026,Overlay fluorescence onto endoscopic images to assist bowel perfusion surgery,False,,intraoperative,abdominal,,patient,spatial_monitor,2d,rgb,,no_post_processing,,,in_situ,markerless,False,,Abdominal,Spatial Monitor,2D,No Post-processing,Markerless,Intraoperative,Patient,RGB Camera,In-situ,,
188,Dho 2021,Development of an inside-out augmented reality technique for neurosurgical navigation,Neurosurg Focus,2021,2021-2026,Developed a pilot model of inside-out tracking AR navigation system,False,,intraoperative,neurosurgery,,phantom,body_handheld,3d,mri,,surface_modeling,,,in_situ,marker_other,False,,Neurosurgery,Handheld Device,3D,Surface Modeling,Other Marker,Intraoperative,Phantom,MRI,In-situ,,
373,Fotouhi 2021,Development and Pre-Clinical Analysis of Spatiotemporal-Aware Augmented Reality in Orthopedic Interventions.,transactions on medical imaging,2021,2021-2026,reveal how exemplary workflows are redefinedby taking full advantageof head-mounteddisplays when entirely co-registered with the imaging system at all times.,False,,intraoperative,orthopedic,,phantom,hmd_ost,2d,xray,,no_post_processing,,tool_location,in_situ,marker_other,False,,Orthopedic,HMD (Optical See-Through),2D,No Post-processing,Other Marker,Intraoperative,Phantom,X-ray,In-situ,,Tool Location
